DATE,daily_demand,national_temp_avg
2020-03-05,1584598,6.058333333333334
2020-03-06,1484230,5.925000000000001
2020-03-07,1284039,6.8500000000000005
2020-03-08,1173419,9.275
2020-03-09,1411669,9.35
2020-03-10,1369788,9.666666666666666
2020-03-11,1329904,8.614285714285716
2020-03-12,1317332,7.271428571428571
2020-03-13,1419717,8.183333333333334
2020-03-14,1260655,8.183333333333334
2020-03-15,1220277,9.9
2020-03-16,1361084,7.708333333333333
2020-03-17,1350213,8.833333333333334
2020-03-18,1426283,8.1
2020-03-19,1451131,6.983333333333333
2020-03-20,1344993,6.991666666666667
2020-03-21,1140867,6.825
2020-03-22,1135374,6.983333333333333
2020-03-23,1275834,7.8500000000000005
2020-03-24,1207620,8.058333333333334
2020-03-25,1177635,6.858333333333333
2020-03-26,1161207,6.2250000000000005
2020-03-27,1116372,5.683333333333334
2020-03-28,1041054,5.841666666666666
2020-03-29,1004294,6.375
2020-03-30,1229408,5.916666666666667
2020-03-31,1248830,6.45
2020-04-01,1271640,6.766666666666667
2020-04-02,1143563,9.033333333333333
2020-04-03,1159187,10.266666666666667
2020-04-04,1018455,11.533333333333333
2020-04-05,912745,11.266666666666666
2020-04-06,1020492,14.225
2020-04-07,1053176,11.433333333333332
2020-04-08,1051701,13.800000000000002
2020-04-09,1008216,14.350000000000001
2020-04-10,935420,14.9
2020-04-11,907562,14.4
2020-04-12,906728,9.133333333333333
2020-04-13,875010,9.658333333333333
2020-04-14,1026554,9.133333333333333
2020-04-15,1005747,9.491666666666667
2020-04-16,992616,7.883333333333333
2020-04-17,998796,10.225
2020-04-18,1032778,10.841666666666667
2020-04-19,897561,10.475
2020-04-20,912307,10.735714285714286
2020-04-21,910563,12.7
2020-04-22,939436,12.533333333333333
2020-04-23,980541,12.591666666666667
2020-04-24,965700,10.575000000000001
2020-04-25,916987,12.508333333333333
2020-04-26,914948,9.975
2020-04-27,1040020,9.02142857142857
2020-04-28,1154589,10.133333333333333
2020-04-29,1100415,9.35
