DATE,daily_demand,national_temp_avg,lag_1,lag_7,lag_14,lag_30,roll_mean_7,roll_std_7,diff_1,pct_change_7,HDD,CDD,temp_lag_1,temp_lag_3,day_of_week,month,year,dow_sin,dow_cos,month_sin,month_cos
2016-02-16,1659083,0.9000000000000001,1654227.0,1612274.0,1545174.0,1583392.0,1602353.4285714286,94659.46533557052,4856.0,0.02903290631741262,17.1,0.0,3.175,3.15625,1,2,2016,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2016-02-17,1704092,3.84375,1659083.0,1633378.0,1621274.0,1767951.0,1612455.4285714286,102010.08636543056,45009.0,0.043293101780481846,14.15625,0.0,0.9000000000000001,3.03125,2,2,2016,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2016-02-18,1652460,4.90625,1704092.0,1661020.0,1609118.0,1795226.0,1611232.5714285714,101380.246926851,-51632.0,-0.005153459922216497,13.09375,0.0,3.84375,3.175,3,2,2016,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2016-02-19,1596118,4.861111111111111,1652460.0,1669459.0,1541494.0,1790108.0,1600755.2857142857,98096.4198084474,-56342.0,-0.0439309980059408,13.13888888888889,0.0,4.90625,0.9000000000000001,4,2,2016,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2016-02-20,1400752,7.824999999999999,1596118.0,1512824.0,1428117.0,1769213.0,1584745.0,121252.17800379486,-195366.0,-0.07408132076170126,10.175,0.0,4.861111111111111,3.84375,5,2,2016,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2016-02-21,1323985,8.2375,1400752.0,1426483.0,1341477.0,1652442.0,1570102.4285714286,147003.7565810816,-76767.0,-0.07185364284046847,9.7625,0.0,7.824999999999999,4.90625,6,2,2016,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2016-02-22,1567477,7.1000000000000005,1323985.0,1654227.0,1578849.0,1467556.0,1557709.5714285714,142311.56880456608,243492.0,-0.05244141221247145,10.899999999999999,0.0,8.2375,4.861111111111111,0,2,2016,0.0,1.0,0.8660254037844386,0.5000000000000001
2016-02-23,1610066,4.16875,1567477.0,1659083.0,1612274.0,1394258.0,1550707.142857143,137620.7840679379,42589.0,-0.029544633993597635,13.83125,0.0,7.1000000000000005,7.824999999999999,1,2,2016,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2016-02-24,1658238,1.43125,1610066.0,1704092.0,1633378.0,1542353.0,1544156.5714285714,129982.35917468545,48172.0,-0.026908171624536736,16.56875,0.0,4.16875,8.2375,2,2,2016,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2016-02-25,1678596,2.5375,1658238.0,1652460.0,1661020.0,1587476.0,1547890.2857142857,133927.35912763528,20358.0,0.01581641915689347,15.4625,0.0,1.43125,7.1000000000000005,3,2,2016,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
